review,summary,stars,label,sentimiento
"Jean-Baptiste Grenouille nace en el barrio más maloliente y sucio de Paris, en medio de los desechos de un mercado de pescado y es abandonado por su madre. Recogido por un hospicio y criado en el, pronto se dará cuenta de que no es igual al resto de niños. Y es que él posee un extraordinario sentido del olfato que lo hace especial y diferente. Vendido más tarde a un curtidor de pieles, pasara su infancia y adolescencia sobreviviendo de mala manera. Un día, atraído por el olor de una bella mujer, descubrirá que su misión en la vida es la de capturar el olor de las cosas y preservarlo. Su afán por crear el perfume perfecto le llevará a cometer asesinatos de bellas mujeres para utilizar su olor, una vez destilado, como ingredientes.Tom Tykwer es el encargado de dirigir esta superproducción europea, con una estupenda escenificación y caracterización de un Paris sucio y desagradable, consigue además, y no era fácil, hacer creíble, sombrío y distante a Jean-Baptiste, la interpretación de Ben Whishaw consigue transmitir todo eso y crear un personaje repulsivo y que a la vez conecta con el espectador y despierta un sentimiento de pena a pesar de sus atrocidades.Tykwer opta por una fidelidad al libro digna de elogio pero que a su vez es lo que convierte al film por momentos en algo cansino y demasiado largo. Ahí radica precisamente su virtud y su defecto. Su virtud porque todo aquel que en su día disfrutó del libro, entre los que me incluyo, agradecemos que se haya respetado la historia tal y como es y los cambios sufridos son realmente pocos. Y su defecto porque la adaptación de un libro de tal envergadura supone una excesiva duración que, sobre todo en su segunda mitad, llega a tener momentos en que uno empieza a mirar el reloj.Esto es debido a que no se consigue mantener el interés constante sobre el film durante todo su metraje, ya que el film combina momentos realmente logrados, sobre todo en su primera mitad, que es prácticamente perfecta y se te pasa volando, donde asistimos al nacimiento y vida de Jean-Baptiste y como llega a convertirse en ayudante del perfumero Baldini, con un Dustin Hoffman en un corto pero gran papel. Pero empieza a decaer a su llegada a Grase, donde empieza su carrera de asesinatos, que el film resuelve con gran rapidez y contrasta con escenas algo lentas de su atracción por la joven Laura, una joven Rachel Hurd-wood de gran belleza y de ojos preciosos.Como me encuentro entre los que en su día disfrutaron del libro, no puedo, a pesar de todo, alegrarme por la elección tomada de ser fiel al libro, sobre todo a su final. Una escena realmente sobrecogedora y donde se nota que el film es una producción europea, ya que estoy totalmente seguro que hubiéramos tenido un final mucho mas edulcorado de tratarse de un film de Hollywood, a pesar de que también se me hizo algo alargado y que puede llegar a ser ridículo depende de como se mire, aunque a mi me gusto.Una película realmente bien realizada y escenificada que pese a tener algún momento de bajón cumple con las expectativas y no defraudará a los fans del libro, una lastima se quede a un paso de ser una gran pelicula.","Realmente bien realizada y escenificada que pese a tener algún momento de bajón cumple con las expectativas y no defraudará a los fans del libro, una lastima se quede a un paso de ser una gran pelicula.",3,1,positivo
"Su película más autobiográfica. El guión refleja los muchos padecimientos y algunos oscuros aspectos de su vida. También recrea su infancia dolorosa junto a su madre enferma y hasta eligió a la protagonista por el parecido con Ona, su actual y última esposa. Están el miedo a su notoria decadencia y a la pérdida lenta de su amado público. Una oda abierta a las hermosas mujeres que amó durante toda su vida.En este caso como en ningún otro, es insoslayable la banda sonora del propio Chaplin, casi tan famosa como la película misma y que acompaña al film en una muestra de su versatilidad y buen gusto, a pesar de no saber escribir música.Película melodramática exacerbada quizás en demasía, con algún que otro golpe bajo incluido, pero de infinita sensibilidad y revelador de su mundo personal; un claro resumen tanto de su vida como de su personaje que demuestran a esta altura ser solo uno. La escena final jugada en un dúo cómico junto al gran olvidado por el cine sonoro como lo fue Buster Keaton (pero no al parecer por su archirival Chaplin); demuestra tanto un gesto de grandeza de ambos, como el peso de la vigencia y la calidad intacta de sus genios. Solo por ver esta escena de dos grandes, vale oro este film.Resumen: En 1914 Calvero es un artista retirado del music-hall. Salva la vida a una bailarina que había querido suicidarse y la ayuda a recuperar la confianza en sí misma. La bailarina tiene luego un romance con un humilde compositor musical. Entretanto Calvero vuelve a actuar en teatro sufriendo un fracaso, para luego triunfar y morir de un ataque cardíaco en pleno escenario; tras insistir en que la bailarina prosiga su carrera.","Película melodramática exacerbada quizás en demasía, con algún que otro golpe bajo incluido, pero de infinita sensibilidad y revelador de su mundo personal; un claro resumen tanto de su vida como de su personaje que demuestran a esta altura ser solo uno.",3,1,positivo
"Ya hacía mucho tiempo que no degustaba una ración de cine clásico, así que en la sobremesa del Domingo, decidí prescindir del Technicolor y paladear una joya del cine de juicios a cargo de Sydney Lumet y su cine político. Se trata de la teatral ""12 hombres sin piedad"".Para ser un ejemplar del cine de reos, salas y presuntos culpables, empieza de manera inusual, justo en el último paso del juicio, cuando el jurado se retira para deliberar si el acusado, en este caso con un posible homicidio en primer grado a sus espaldas, debe ser declarado culpable y merecedor de la pena de muerte.Es a este jurado a quien sigue la cámara, que se instalará junto a ellos en una pequeña sala de reunión en una tarde sofocante, para asistir de forma pasiva a sus deliberaciones. Lo que en principio parece un mero trámite en un caso claro, con multitud de pruebas en contra del sospechoso y varios testigos, se ve prolongado por la duda de uno de los miembros, reticente a mandar al chico a la cárcel si no ve las cosas absolutamente claras y sin un asomo de duda razonable.A medida que la película avanza, el único participante en la discusión que desde el principio plantea la primera duda - un enorme Henry Fonda -, tratará de razonar con los demás los pormenores del juicio. Diversas personalidades irán saliendo a la palestra retratando una pequeña muestra de la sociedad. Prejuicios, hombres irascibles junto a tipos tímidos, varios estratos sociales y diferentes edades deben ponerse de acuerdo sobre la vida de un hombre.En medio de los 12 hombres, dos destacan por su claridad de ideas y de exposición de las mismas, cada uno en un bando, mientras a su alrededor el resto va cambiando de opinión dándose cuenta de que no es tan fácil mandar a alguien al otro barrio cuando uno debe estar totalmente seguro de su culpabilidad. La duda razonable empieza a hacer mella en las mentes y las conciencias del grupo.La película es prácticamente una obra de teatro, con un solo escenario, un número reducido de personas y diálogos que se entrecruzan, se solapan, se cortan y pelean en torno a la vida de un muchacho. Aunque quizá con el tiempo haya perdido algo de su fuerza inicial, sigue siendo un alegato calmado y certero contra la pena de muerte, intentando demostrar que incluso en el juicio más cristalino puede haber puntos oscuros que manden a un inocente a la silla eléctrica.Para ello, Sydney Lumet hace algo tan complicado como poner la cámara y desentenderse de ella, sin soflamas incendiarias ni discursos elevados, tan sólo un grupo de hombres corrientes soltando frases corrientes. No hay un héroe que los convence, ni tampoco un villano deseoso de provocar una muerte, sino más bien dudas, vivencias y sentimientos poco definidos que se entrecruzan.Una película sencilla en estructura pero con un gran trabajo de guión, de esos que hicieron famosos a directores como Robert Altman o, (espero no recibir amenazas de muerte tras esta comparación absurda) las primeras películas del ahora algo desnortado Kevin Smith, repleta de diálogos sobre los que se desliza la narración. Perfecta para paladear sin prisas una tarde de Domingo.","Sydney Lumet hace algo tan complicado como poner la cámara y desentenderse de ella, sin soflamas incendiarias ni discursos elevados, tan sólo un grupo de hombres corrientes soltando frases corrientes.",3,1,positivo
"Muchos no estarán de acuerdo conmigo, pero en mi opinión DiCaprio (Infiltrados) esta volviendo a recuperar la credibilidad que tanto le costo conseguir, y que tan rápido perdió en algunos de sus anteriores filmes, la calidad de su trabajo en esta cinta, es meramente indiscutible, como ya viene a tenernos acostumbrados últimamente llena la pantalla sin darnos ni un solo resquicio en el que podamos dudar sobre su interpretación en esta gran película en la que Edward Zwick (El ultimo Samurai), ha querido contarnos los sucesos acontecidos en Sierra Leona a finales del siglo pasado durante la guerra civil que allí se libró, con las minas de diamantes como telón de fondo.Película dura donde las haya, en la que aparte de catalogarse por la edad, debería también de hacerlo por la resistencia de nuestros estómagos, al menos es como yo veo el shock de ver a un niño blandir un arma utilizándolo con mas odio y sanguinolencia que si de un asesino entrenado se tratara, sin despreciar con la tranquilidad que se amputan brazos y se siegan vidas durante una buena parte de la proyección. Aparte de tratar hacernos abrir los ojos respecto al sufrimiento y dudosa procedencia de un gran porcentaje de dichas piedras preciosas, el filme también trata de darnos un grito de alarma a las dormidas mentes occidentales de el abandono al que están sometidas algunas regiones del África negra, y los problemas que han llevado a un país basto en riquezas, a la hambruna y a la desesperación a consecuencia de la explotación fraudulenta de ellas.Es una película constante, que no sufre en ningún momento de altibajos y en la que no hay espacio para el aburrimiento, no se realmente si podría hacer diferenciación alguna en cuanto al trabajo de los tres actores principales, ya que Djimon Hounsou (La Isla) hace un trabajo espléndido y totalmente creíble, en el que da vida Solomon Vandy, un padre desesperado, que lucha por encontrar a su familia habiendo sido este apartado de ella por la guerrilla, con la ayuda de un traficante de diamantes y una periodista, interpretada por la ganadora de un Oscar de la Academia Jennifer Connelly (Little Children), que tampoco decepciona en ningún momento, a pesar de la escasa aparición de su personaje.En definitiva, es una película de las que no se pueden dejar de ver, las razones que alegaré son tan simples como que no puedo ocultar mi favoritismo hacia la carrera de lo que yo creo es un gran actor que aun tiene mucho que mostrar (hablo de DiCaprio, y si no denle tiempo al tiempo), es una cinta de peso y mucha calidad, y nos muestra lo que no nos cuenta nadie cuando pasan estas cosas en tiempo real.","Es una cinta de peso y mucha calidad, y nos muestra lo que no nos cuenta nadie cuando pasan estas cosas en tiempo real.",3,1,positivo
"Si alguien se preguntaba dónde estaba la comedia romántica de este otoño, que siga buscando, y no lo digo porque ""Sin Reservas"" sea buena o mala, es que simplemente no es una comedia romántica.Nuevo ejemplo de promoción mediática engañosa. ""Sin Reservas"" es un dramón en sus primeros 45 minutos, y un género inclasificable en el resto. Si queréis reiros, o al menos sonreir, ésta no es la que buscáis.Quizás podamos acercarnos más fielmente a lo que esta película es si apuntillo que su director es Scott Hicks, que hace diez años nos cautivó con ""Shine"" y que su coprotagonista no es el Sr. Eckhart, sino Abigail Breslin, la niña de ""Pequeña Miss Sunshine"" que aquí ha perdido unos kilitos, la verdad. Igualmente, estamos ante un remake de ""Bella Martha"", película alemana del 2.001, y que parece ser (yo no la he visto) ha sufrido un remozado digno de Hollywood, es decir: no se parece en nada.Debo admitir que soy muy asiduo a ver comedias románticas, y que ""Serendipity"" es una de las mejores que he visto en años, pero en ""Sin Reservas"" me pase buena parte del metraje esperando que la comedia comenzara, y al final me di por vencido: a pesar de un par de escenas muy cautivadoras, el resto es básicamente deprimente. Kate (Zeta-Jones) es una chef de un restaurante de Nueva York, adicta a su trabajo y perfeccionista en sus platos. Cuando el viaje que realiza su hermana y su sobrina a la ciudad se convierte en tragedia deberá hacerse cargo de Zoe (Breslin), y ajustar su cuidado con su trabajo, algo complicado cuando le asignan como ayudante a Nick (Eckhart), un chef bastante excéntrico y radicalmente distinto a su forma de ver la cocina.Lo que nos habían vendido hasta ahora en trailers y spots televisivos era la relación prefecta entre Zeta-Jones y Eckhart, y una especie de historia a lo ""primero rivales-después amantes"". Bueno, no digo que no sea parte del film, pero ciertamente ocupa como mucho media hora y su desarrollo no sólo es predecible, sino que convierte a sus protagonistas en auténticos babosos. Ahora, cuando descubrimos que esto es un drama familiar y cambiamos el chip, todo resulta algo mejor.No os voy a engañar, y todas las situaciones que viven los personajes son las obligatorias cuando hay una niña huérfana y un novio más que comprensivo, pero lo que la hace especial y evita que sea un producto intragable son dos de sus actores.Las actuaciones de Abigail Breslin y Aaron Eckhart vuelven a ser de sobresaliente. Ambos se ganan cada vez más mi simpatía. Puede que al tener al lado a semejante mujo (dícese de pez sin gesticulación facial) como Catherine Zeta-Jones los haga mejores, pero es inevitable que los dos se coman a la Sra. Douglas, que parece perdida en el guión y firma una actuación digna de un telefilm barato. Patricia Clarkson, como jefa de la protagonista, apenas tiene escenas, por lo que voy a obviar el desperdicio de una actriz tan carismática.Con tanto plato a lo novelle cuisine y presentación digna de Ferrán Adriá, ""Sin Reservas"" se me ha antojado más como un ""take away"", donde consumes la comida sin distinguir muy bien los ingredientes, y en el que al final tiras el envase sabiendo que sólo repetirás cuando no haya más remedio.","Nuevo ejemplo de promoción mediática engañosa. ?Sin Reservas? es un dramón en sus primeros 45 minutos, y un género inclasificable en el resto. Si queréis reiros, o al menos sonreir, ésta no es la que buscáis.",1,0,negativo
"La magia del cine nos traslada a una época en que los polígrafos se utilizaban para salvar el mundo y no para determinar si el descendiente de una folclórica recurría a los servicios de señoritas de moral distraída mientras su progenitora se aliviaba las fosas nasales entre bambalinas.De Niro, a la par que recordarnos los primeros usos de este artefacto, realiza en El buen pastor un recorrido por 30 años de intrigas, secretos y mentiras en un thriller político que, al igual que los oscuros sucesos que relata, es muy farragoso y requiere toda la atención del espectador y un cierto background sobre la historia americana reciente, ya que el filme cuenta con muchas elipsis narrativas y un montón de personajes.Lo primero que hace De Niro es desmitificar la idea romántica que Ian Fleming, o Le Carré han dado de los espías. Al igual que en La vida de los otros, el espía -sea rojo o azul, rojo y blanco- es un ser solitario, con el estado como único amigo y amante.El filme cuenta la ficticia biografía de uno de los fundadores de la CIA que se ve forzado al secretismo desde la infancia y que es reclutado en la Universidad para pertenecer a la OSS -precursora de la CIA- durante la II Guerra Mundial. Acaba convirtiéndose en un destacado miembro de la Agencia durante la Guerra Fría y bien aprendido el lema: ?pero que parezca un accidente? combate a la KGB, el avance del comunismo y se convierte en un jugador de ajedrez eficiente, calculador y emocionalmente cadáver.Salvar el mundo pasa factura y Wilson no es capaz de conciliar vida familiar y laboral: su mujer no le quiere, su hijo le tiene miedo y sus amigos simplemente no existen. Por lo que El buen pastor es una historia de renuncia, que, dado que Matt Damon no cambia de expresión en los 160 minutos de metraje, no sabemos si el sacrificio ha merecido la pena o no, si es feliz así o si es un desgraciado.Aparte de salir de la sala con este debate, hay otra pregunta sin respuesta: ¿dónde está Max Factor? Pocas veces he visto en cine a personajes tan mal avejentados y si quieres que una historia que transcurre a través de 30 años sea creíble debes maquillar bien a los protagonistas o se producen momentos como que el padre y el hijo adolescente parecen colegas del insti y la madre -Angelina Jolie-, una cheer leader con 50.Los protagonistas no son santos de mi devoción, a Damon entre que parece pariente de Dorian Gray y que no mueve una ceja, pues me cuesta creérmelo. Angelina por su parte, no tiene mucha presencia y es más bien decorativa y ejemplo de que la ?celebrity? se ha comido a la actriz.El resto de secundarios es una maravilla: John Turturro que debería haber tenido más cancha, William Hurt, el propio De Niro, Alec Baldwin, Joe Pesci, Tammy Blanchard y curiosamente Martina Gedeck que pasa de espiada -La vida de los otros- a espía.En resumen, muy recomendable, el filme mantiene el interés durante el largo metraje, tiene una excelente factura y los secundarios son de lujo, dado el cine americano reciente, una delicia.PD: Como curiosidad apunto que la sociedad secreta ""Calaveras y Huesos"" a la que pertenece el personaje de Matt Damon existe realmente y entre sus miembros se encuentran los Bush, padre e hijo, y el senador demócrata candidato a la presidencia John Kerry.","Thriller político que, al igual que los oscuros sucesos que relata, es muy farragoso y requiere toda la atención del espectador y un cierto background sobre la historia americana reciente.",3,1,positivo
"El género de terror ha experimentado muchos altibajos a lo largo de su historia, se han hecho buenas películas de terror pero han sido muchas más las que se podrían calificar de ""basurilla comercial"". El Orfanato, aunque es comercial, se puede incluir entre los films de terror de calidad, lleno de elementos ya vistos miles de veces en otras películas como puertas que se cierran solas, ruidos extraños en un caserón solitario, un niño que ve muertos, etc, pero a pesar de estos elementos la película no se convierte en un refrito de otras de su género, gracias a un buen guión, una fotografía excelente y unas actuaciones notables, sobre todo la de Belén Rueda, que lleva todo el peso de la película sobre ella. La mezcla de terror y drama en El Orfanato es lo que más me ha llamado la atención, con un final que hace saltar más de una lágrima, es uno de los mejores finales que recuerdo, aunque creo que se podrían haber ahorrado la última escena, que nos da una información que realmente no necesitamos, sino hubiese sido un colofón estupendo, precioso y triste, muy triste.","La mezcla de terror y drama en El Orfanato es lo que más me ha llamado la atención, con un final que hace saltar más de una lágrima.",3,1,positivo
"Minuciosa y sugerente hasta lo pornográfico, apabullante en su prolija disección de una investigación criminal, Zodiac no es una película comercial en modo alguno, aunque contiene trazas de cine de taquilla generosa a causa de su cotizado director, David Fincher ( Alien3, Seven, El club de la lucha, La habitación del pánico y la muy menor The game) y su más que competente elenco. Zodiac es un estudio sobre la obsesión que desciende desde lo meramente descriptivo ( los crímenes, los indicios relevantes de un caso que alarmó a la población de California durante los últimos sesenta y primeros setenta ) hasta lo enfermizo, representando por una serie de personajes encorsetados en un muy ambiguo territorio que ni es policial ni periodístico. Fincher no pretende miniaturizar la trama; más al contrario, lo que hace es hocicar su talento narrativo en todos los resquicios de modo que el espectador se ve asfixiado por una propuesta dramática excesiva, tal vez demasiado rigurosa, que no abandona su carácter cinematográfico en ningún momento y que indaga con morosa delectación en los aspectos normalmente más escondidos en este tipo de artilugios fílmicos: las indagaciones, las pesquisas, que resultan, en algún momento del metraje, cargantes y obviables, pero sin cuyo concurso el exquisito conjunto queda deslabazado, desvaído, como si le hubiesen sustraído cualquier mínimo rasgo de credibilidad y estuviésemos asistiendo a cualquier vulgar telefilm de sobremesa sobre asesinos en serie y desquiciados policías que tratan de darle caza. Como hemos visto mucho cine de este pelaje, se debe ser muy exigente con Zodiac. ¿ El resultado ? Una cinta casi magistral, sobrecogedora, en todo caso, perfecta en su acendrado sentido de la ética y de la épica porque, bien mirado, el regusto final es ése: el de habernos tragado un monumental arrebato sentimental sobre la justicia, el derecho a encontrar la verdad y las trabas que el tiempo y la desgana de la sociedad tiene en dar con ella cuando los medios de comunicación, auténticos depositarios de las montañas de datos, ya han decidido darle soberanamente la espalda. Zodiac deslumbra por su desmesura, que es también - a juicio de algunos - su demérito mayor.No es posible disminuir sus excesos: se precisan sus dos horas larguísimas para que ningún hilo quede sin trenzar y, al tiempo, se tenga la última reflexión de que todos los hilos, al abovinarse, no han conducido a completar madeja alguna. De narrativa nunca atropellada, Zodiac entretiene en todo instante y tiene la virtud de no concederse licencias tal vez perdonables: una truculencia más explícita, un espíritu a lo Seven al que Fincher no es ajeno por cuanto esa obra maestra del último cine de entretenimiento ( comercial, dirán ) es suya. En este caso lo que hace el director es reescribir el patrón sobre el que abordar el género de asesinos en serie y reformular su discurso en base a criterios más literarios, más cercanos a modelos setenteros como Todos los hombres del presidente ( sé que no soy el único que ha visto esta similitud, de hecho antes de verla era ésta la única información que tenía del film ) o incluso JFK . Su pulcritud formal, su ausencia de entusiasmos doctrinales y su carácter marginal dentro del thriller hacen de Zodiac una cinta más que recomendable, que no es la obra maestra que podría haber sido ( tiene mimbres y alicientes para serlo en quienes así lo consideren en su fuero interior ) pero sí, y contundentemente, una película mayor dentro de la filmografía de Fincher a la altura de Seven. Curioso que sus mayores logros provengan de cimientos narrativos parecidos. Tal vez en la próxima incursión en el género le dé al hombre por escorar las miras ciento ochenta grados y bucear en el melodrama o en el musical, y todo sin abandonar asesinos en serie, claro.","Fincher ha reescrito los patrones clásicos del thriller. Éste es un thriller sentimental, enfermizo, íntimo casi.",3,1,positivo
"Después de haber visto esta película tres veces (una por necesidad, otra por compromiso y la última por aburrimiento) creo que puedo mostraros sin temor a dudar en nada mi más sincera opinión sobre este nuevo trabajo de Robert Rodríguez, que tras la cagada de El Mexicano vuelve por la puerta grande (tampoco era muy difícil, porque ya el original era muy bueno y más aún si el propio autor co-dirige).Dejando a un lado las polémicas sobre la fidelidad al cómic de 'Batman Begins' creo que podemos decir que ésta es sin lugar a dudas la más fiel de las adaptaciones de un cómic (o novela gráfica) al cine, y como tal, debemos comprender su estética, su historia, sus excesos y sus carencias.Sobre las historias. qué decir, te pueden gustar más o menos, te pueden emocionar más o menos, pero ahí están, tal y como Frank Miller las ideó en su cabeza años atrás, son exactamente como se describen el los cómics y no se toma ninguna concesión extra. el guión le salió barato al señor Rodríguez.Otro aspecto en el que tampoco se esnucó fue en el storyboard. Con las carencias que puede tener el celuloide frente al papel en temas de color y contrastes cabe decir que la estética en general, y la fotografía en particular están realmente conseguidas, y se calcan los planos de las viñetas de las novelas, aquí sí, dándose algunas concesiones en torno al color de ciertas escenas y personajes.Un Mickey Rourke que hace de sí mismo, un Bruce Willis en estado de gracia y un Clive Owen que demuestra lo que sabe hacer encabezan un reparto trufado de estrellas de nuevo cuño y viejas glorias que muestran su lado más gamberro y salvaje dando vida a los pecaminosos personajes de las novelas de Miller. Nadie destaca sobre los demás en este reparto de multitud de personajes, porque, en el fondo, y aunque no sea lo políticamente correcto, a todos nos gusta ser malos.Para finalizar, sólo apuntar una cosa a toda esa gente que no ha leído los libros. Puede parecer una adaptación más de un cómic más, pero os aseguro que no es así, leed los libros y lo comprobaréis, porque Sin City no es una adaptación al uso propiamente dicha, sino una simple traslación a imágenes de este poblado universo, porque Sin City ya era cine antes de que este proyecto existiera.","Ésta es sin lugar a dudas la más fiel de las adaptaciones de un cómic (o novela gráfica) al cine, y como tal, debemos comprender su estética, su historia, sus excesos y sus carencias.",4,1,positivo
"Decir a estas alturas que me encanta Jim Carrey sobra, puesto que todos los que me leéis habitualmente sabéis de mis filias y fobias, pues bien, en esta segunda entrega en la que Carrey dijo algo así como ""sube aquí y pedalea (o dame más pasta)"" tenemos al últimamente en alza Steve Carrell, alargado el personaje que hizo en la primera entrega hasta el protagonismo, huelga decir que Carrell no llega ni tan siquiera a rozar el histrionismo del de Ontario (Canadá) pero que en su papel de Evan Baxter esta simpático, comedido en algunos momentos y bastante conseguido en otros.Los que hayáis seguido aunque sea por encima la filmografía de Carrell, sabréis que es un completo especialista en interpretar a hombres normales (tanto en ""Virgen a los 40"" como en la siempre recomendable ""Pequeña miss Sunshine"" lo hace), y aunque Evan Baxter es todo un senador de los States, aquí, una vez más, es un nombre normal metido en un lío de proporciones celestiales.Tom Shadyac es el típico director de comedias familiares, y esta no es una excepción, típica comedia que gustará a los peques de la casa, y que los mayores tendrán que soportar una cinta, que sin ser redonda hace aguas por todas partes, y es que, ni el guión ha estado elaborado, ni el rodaje (uno de los mas caros del cine actual) es a todas luces algo que merezca la pena recordar.Lástima de una película que prometía todo y una vez más se queda en nada.","Tom Shadyac es el típico director de comedias familiares, y esta no es una excepción, típica comedia que gustará a los peques de la casa, y que los mayores tendrán que soportar una cinta, que sin ser redonda hace aguas por todas partes, y es que, ni el guión ha estado elaborado, ni el rodaje es a todas luces algo que merezca la pena recordar.",1,0,negativo
