tienda,categoria,anio,mes,unidades
Guayaquil-51,bebidas,2013,1,72633
Guayaquil-51,bebidas,2013,2,62878
Guayaquil-51,bebidas,2013,3,69685
Guayaquil-51,bebidas,2013,4,71787
Guayaquil-51,bebidas,2013,5,85950
Guayaquil-51,bebidas,2013,6,80830
Guayaquil-51,bebidas,2013,7,80325
Guayaquil-51,bebidas,2013,8,86600
Guayaquil-51,bebidas,2013,9,82012
Guayaquil-51,bebidas,2013,10,80124
Guayaquil-51,bebidas,2013,11,79606
Guayaquil-51,bebidas,2013,12,97990
Guayaquil-51,bebidas,2014,1,155526
Guayaquil-51,bebidas,2014,2,77419
Guayaquil-51,bebidas,2014,3,140317
Guayaquil-51,bebidas,2014,4,77361
Guayaquil-51,bebidas,2014,5,91728
Guayaquil-51,bebidas,2014,6,93496
Guayaquil-51,bebidas,2014,7,169310
Guayaquil-51,bebidas,2014,8,85039
Guayaquil-51,bebidas,2014,9,133850
Guayaquil-51,bebidas,2014,10,140930
Guayaquil-51,bebidas,2014,11,148454
Guayaquil-51,bebidas,2014,12,176533
Guayaquil-51,bebidas,2015,1,87518
Guayaquil-51,bebidas,2015,2,71854
Guayaquil-51,bebidas,2015,3,77825
Guayaquil-51,bebidas,2015,4,80564
Guayaquil-51,bebidas,2015,5,129294
Guayaquil-51,bebidas,2015,6,155183
Guayaquil-51,bebidas,2015,7,161744
Guayaquil-51,bebidas,2015,8,155350
Guayaquil-51,bebidas,2015,9,155102
Guayaquil-51,bebidas,2015,10,148581
Guayaquil-51,bebidas,2015,11,152308
Guayaquil-51,bebidas,2015,12,172311
Guayaquil-51,bebidas,2016,1,151941
Guayaquil-51,bebidas,2016,2,127331
Guayaquil-51,bebidas,2016,3,127571
Guayaquil-51,bebidas,2016,4,167353
Guayaquil-51,bebidas,2016,5,156512
Guayaquil-51,bebidas,2016,6,134465
Guayaquil-51,bebidas,2016,7,149757
Guayaquil-51,bebidas,2016,8,147954
Guayaquil-51,bebidas,2016,9,132895
Guayaquil-51,bebidas,2016,10,142159
Guayaquil-51,bebidas,2016,11,151844
Guayaquil-51,bebidas,2016,12,180195
Guayaquil-51,bebidas,2017,1,162262
Guayaquil-51,bebidas,2017,2,131522
Guayaquil-51,bebidas,2017,3,148329
Guayaquil-51,bebidas,2017,4,140339
Guayaquil-51,bebidas,2017,5,163566
Guayaquil-51,bebidas,2017,6,147288
Guayaquil-51,bebidas,2017,7,154060
Guayaquil-51,bebidas,2017,8,67396
Quito-44,bebidas,2013,1,134704
Quito-44,bebidas,2013,2,113249
Quito-44,bebidas,2013,3,141401
Quito-44,bebidas,2013,4,132401
Quito-44,bebidas,2013,5,129241
Quito-44,bebidas,2013,6,129758
Quito-44,bebidas,2013,7,116986
Quito-44,bebidas,2013,8,121577
Quito-44,bebidas,2013,9,134477
Quito-44,bebidas,2013,10,124148
Quito-44,bebidas,2013,11,131060
Quito-44,bebidas,2013,12,142792
Quito-44,bebidas,2014,1,264216
Quito-44,bebidas,2014,2,129620
Quito-44,bebidas,2014,3,295152
Quito-44,bebidas,2014,4,161846
Quito-44,bebidas,2014,5,149653
Quito-44,bebidas,2014,6,151647
Quito-44,bebidas,2014,7,273735
Quito-44,bebidas,2014,8,170438
Quito-44,bebidas,2014,9,318312
Quito-44,bebidas,2014,10,301475
Quito-44,bebidas,2014,11,285437
Quito-44,bebidas,2014,12,289674
Quito-44,bebidas,2015,1,161074
Quito-44,bebidas,2015,2,134535
Quito-44,bebidas,2015,3,162528
Quito-44,bebidas,2015,4,162062
Quito-44,bebidas,2015,5,228352
Quito-44,bebidas,2015,6,278380
Quito-44,bebidas,2015,7,269845
Quito-44,bebidas,2015,8,306903
Quito-44,bebidas,2015,9,335873
Quito-44,bebidas,2015,10,314323
Quito-44,bebidas,2015,11,294712
Quito-44,bebidas,2015,12,296869
Quito-44,bebidas,2016,1,308109
Quito-44,bebidas,2016,2,267233
Quito-44,bebidas,2016,3,282438
Quito-44,bebidas,2016,4,362065
Quito-44,bebidas,2016,5,290880
Quito-44,bebidas,2016,6,259468
Quito-44,bebidas,2016,7,283193
Quito-44,bebidas,2016,8,278647
Quito-44,bebidas,2016,9,300210
Quito-44,bebidas,2016,10,332204
Quito-44,bebidas,2016,11,350450
Quito-44,bebidas,2016,12,340424
Quito-44,bebidas,2017,1,364101
Quito-44,bebidas,2017,2,293653
Quito-44,bebidas,2017,3,354731
Quito-44,bebidas,2017,4,321054
Quito-44,bebidas,2017,5,329793
Quito-44,bebidas,2017,6,323891
Quito-44,bebidas,2017,7,350407
Quito-44,bebidas,2017,8,136453
Quito-44,lacteos,2013,1,45935
Quito-44,lacteos,2013,2,43700
Quito-44,lacteos,2013,3,53957
Quito-44,lacteos,2013,4,49255
Quito-44,lacteos,2013,5,50641
Quito-44,lacteos,2013,6,50279
Quito-44,lacteos,2013,7,49342
Quito-44,lacteos,2013,8,50221
Quito-44,lacteos,2013,9,51930
Quito-44,lacteos,2013,10,51124
Quito-44,lacteos,2013,11,67679
Quito-44,lacteos,2013,12,83149
Quito-44,lacteos,2014,1,79848
Quito-44,lacteos,2014,2,69863
Quito-44,lacteos,2014,3,83602
Quito-44,lacteos,2014,4,80563
Quito-44,lacteos,2014,5,81588
Quito-44,lacteos,2014,6,77794
Quito-44,lacteos,2014,7,75140
Quito-44,lacteos,2014,8,83699
Quito-44,lacteos,2014,9,91739
Quito-44,lacteos,2014,10,88576
Quito-44,lacteos,2014,11,81738
Quito-44,lacteos,2014,12,84046
Quito-44,lacteos,2015,1,77969
Quito-44,lacteos,2015,2,68039
Quito-44,lacteos,2015,3,85408
Quito-44,lacteos,2015,4,78541
Quito-44,lacteos,2015,5,84482
Quito-44,lacteos,2015,6,78024
Quito-44,lacteos,2015,7,77249
Quito-44,lacteos,2015,8,82518
Quito-44,lacteos,2015,9,78338
Quito-44,lacteos,2015,10,85313
Quito-44,lacteos,2015,11,85311
Quito-44,lacteos,2015,12,86702
Quito-44,lacteos,2016,1,90091
Quito-44,lacteos,2016,2,79724
Quito-44,lacteos,2016,3,86577
Quito-44,lacteos,2016,4,86594
Quito-44,lacteos,2016,5,88854
Quito-44,lacteos,2016,6,79676
Quito-44,lacteos,2016,7,82189
Quito-44,lacteos,2016,8,77899
Quito-44,lacteos,2016,9,82557
Quito-44,lacteos,2016,10,89950
Quito-44,lacteos,2016,11,91855
Quito-44,lacteos,2016,12,96730
Quito-44,lacteos,2017,1,94247
Quito-44,lacteos,2017,2,81957
Quito-44,lacteos,2017,3,94740
Quito-44,lacteos,2017,4,86374
Quito-44,lacteos,2017,5,88692
Quito-44,lacteos,2017,6,84991
Quito-44,lacteos,2017,7,84604
Quito-44,lacteos,2017,8,36351
