texto,label_txt,label
No esperes al corte paga tu recibo hoy,ham,0
Recordatorio: tu cita con el dentista es mañana,ham,0
Agenda tu revision medica anual,ham,0
Asegura tu futuro con nuestro plan de jubilación,spam,1
Tu solicitud ha sido aprobada satisfactoriamente,ham,0
Informamos que nuestras tiendas permanecerán cerradas hoy,ham,0
Necesitamos verificar tu licencia de conducir para el alquiler,spam,1
Aprovecha las ofertas de ultimo minuto,spam,1
Aprovecha nuestros préstamos con bajo interés,spam,1
Gracias por tu interés un asesor se comunicará contigo pronto,ham,0
Apoya esta causa solidaria con tu aporte,spam,1
Accede con tu nueva clave temporal,ham,0
Este producto revolucionario te quitara las manchas de la piel,spam,1
Te extrano y quiero verte,ham,0
Baja nuestro e-book de viajes imperdibles,spam,1
Agradecemos tu preferencia sigue disfrutando de nuestros productos,ham,0
Tu orden ha sido enviada te mantendremos informado,ham,0
Tu cita de manana ha sido confirmada,ham,0
Por favor responde esta encuesta de satisfacción laboral,ham,0
Tu balance y movimientos del mes están listos,ham,0
Obten acceso temprano a nuestras ofertas especiales,spam,1
Activa las notificaciones de nuestro boletín,spam,1
Revisa tu puntaje crediticio gratis,spam,1
Elige el plan que más te convenga,ham,0
Tu comprobante fiscal está listo para ser descargado,ham,0
Tu solicitud ha sido aceptada felicitaciones,ham,0
Agenda tu cita virtual aqui,ham,0
Recuerda que tienes una cita médica este jueves,ham,0
Baja aquí el manual de usuario,spam,1
Despierta tu creatividad con nuestro curso de pintura,spam,1
Descubre las empresas top para invertir,spam,1
Buscamos mejorar con tus sugerencias,ham,0
Baja dos tallas con nuestros batidos,spam,1
Descarga este ebook lleno de consejos útiles,spam,1
Haz clic para ver las fotos de la fiesta,spam,1
Potencia tu vida sexual con nuestras pastillas,spam,1
Baja el instructivo de operación,spam,1
Descarga este software gratis ahora,spam,1
Sorprende a tu pareja con este regalo original,spam,1
Accede a ofertas solo para miembros,spam,1
Haz clic para ver el video mas divertido,spam,1
Hola evaluemos tu perfil profesional,ham,0
Tus sugerencias nos ayudan a mejorar,ham,0
Tu equipaje está en camino a tu domicilio,ham,0
Tus comentarios son valiosos para nosotros,ham,0
Últimas novedades agregadas explora nuestro catálogo,spam,1
Última chance para comprar con descuento,spam,1
Tu paquete ha sido entregado exitosamente,ham,0
Bienvenido a nuestro selecto grupo,ham,0
Gana kms para tu proximo viaje,spam,1
Descarga esta aplicación y obtén un descuento,spam,1
Tus comentarios constructivos nos hacen crecer,ham,0
Tu cuenta ha sido activada exitosamente,ham,0
Baja de peso sin hacer dieta ni ejercicio,spam,1
Hola ¿en qué puedo asesorarte?,ham,0
Hola quiero compartir contigo esta oportunidad unica,spam,1
Gana dinero desde casa con este sencillo método,spam,1
Financia tu compra con nuestro crédito,spam,1
Agradecemos tus comentarios constructivos,ham,0
Feliz cumpleaños te enviamos un obsequio virtual,ham,0
Hola renovemos tu guardarropa,spam,1
Haz clic aqui para recibir tu recompensa,spam,1
Tu reclamo esta siendo atendido,ham,0
Confirma tu dirección de correo para recibir novedades,spam,1
Asiste a la junta de accionistas este viernes,ham,0
Obten tu score crediticio sin costo,spam,1
Disfruta de nuestro servicio premium por 30 días gratis,spam,1
Confirma tu suscripcion haciendo clic aqui,spam,1
Protege a tu familia con nuestro seguro de vida,spam,1
Hola soy tu nuevo entrenador personal,spam,1
Hola nos encantaría que formaras parte de nuestro equipo,ham,0
Gana dinero desde tu hogar,spam,1
Gracias por comprar con nosotros,ham,0
Despierta tu creatividad con nuestros cursos,spam,1
Pon a prueba tu intelecto con sudokus,spam,1
Marca abdominales de revista con este aparato,spam,1
Haz tu reclamo de subsidio aqui,ham,0
Lamento informarte que tu solicitud ha sido rechazada,ham,0
Hola te interesa cotizar un seguro?,ham,0
Conoce nuestro compromiso con tu seguridad,ham,0
Gana tickets para el concierto del ano,spam,1
Tu nueva tarjeta de débito está en camino,ham,0
Tu factura ya esta disponible en linea,ham,0
Necesitamos verificar tus datos de contacto,spam,1
Construyamos juntos un mundo mejor,ham,0
Felicidades por tu desempeño sobresaliente,ham,0
Reduce tus cuotas con nuestro plan especial,spam,1
Gracias por postular suerte en tu búsqueda,ham,0
Tu certificado tributario está listo,ham,0
Asiste a la reunión de accionistas,ham,0
Únete a nuestros voluntarios y cambia vidas,ham,0
Invierte en la criptomoneda del momento,spam,1
Genera ingresos extras en tus tiempos libres,spam,1
Tu saldo actual y movimientos están en este enlace,ham,0
Tu solicitud de crédito fue denegada,ham,0
Mejora tu rendimiento deportivo con nuestro programa de entrenamiento,spam,1
En agradecimiento por tu preferencia,ham,0
Verifica la cuenta de depósito de tu nómina,spam,1
Valoramos mucho tu retroalimentacion,ham,0
Canjea tu bono aqui,spam,1
Por favor comparte tu experiencia con nuestro producto,spam,1
Confirma tu email haciendo clic en el enlace,spam,1
Elige tu método de envío favorito,ham,0
Disfruta de horas de diversión con este juego adictivo,spam,1
Gracias por tu comprension,ham,0
Esta oferta expira a la medianoche ¡aprovéchala ya!,spam,1
Este mensaje es para informarte sobre nuestra nueva política,ham,0
Este software optimizara el rendimiento de tu ordenador,spam,1
Desarrolla habilidades de liderazgo con este seminario,spam,1
Gracias por tu visita aquí tienes un regalo de despedida,ham,0
Tu maleta llegará en el próximo vuelo,ham,0
Tu reserva de vuelo ha sido confirmada,ham,0
Extendimos tu membresía sin costo,ham,0
Desata tu potencial sexual con estas pastillas,spam,1
Aumenta tu tamano con estas pastillas milagrosas,spam,1
Hola soy tu entrenador personal virtual,spam,1
Tu cuenta tiene un saldo pendiente,spam,1
No te pierdas estos divertidos videos de animales,spam,1
Gracias por tu paciencia,ham,0
Disfruta horas de diversión familiar,spam,1
Quema grasa abdominal con este suplemento,spam,1
Necesitamos verificar tu dirección para enviar tu pedido,spam,1
Hoy todo tiene 70% de descuento corre,spam,1
Feliz día mamá eres la mejor,ham,0
Revisa tu saldo y próximas facturas,ham,0
Se parte del record Guinness con nosotros,spam,1
Recibe tu súper en la puerta de tu casa,spam,1
Pasa horas de entretenimiento con este juego,spam,1
Felices Pascuas disfruta en familia,ham,0
Bienvenido a bordo,ham,0
Aprende Photoshop desde cero,spam,1
Aprovecha las mega ofertas de fin de semana,spam,1
Últimos artículos en oferta ¡agrégalos a tu carrito!,spam,1
Aprende un nuevo idioma de forma divertida,spam,1
Últimos días de rebajas ¡no te los pierdas!,spam,1
Hemos recibido tu reclamo y estamos trabajando en ello,ham,0
Gana regalos testeando productos nuevos,spam,1
Tu reserva ha sido procesada exitosamente,ham,0
Confirma tu presencia en la capacitación,ham,0
Necesito que me envíes la información solicitada,ham,0
Tu boleto de avion esta listo,ham,0
Prueba nuestro menú veggie,spam,1
Necesito tu ayuda urgentemente,ham,0
Expresa tu talento con este set de pinceles,spam,1
Gana el triple con nuestro nuevo plan,spam,1
Gana millas en tus viajes de trabajo,spam,1
Tu comprobante de pago está adjunto a este mensaje,ham,0
Ultimas unidades disponibles ¡corre que se acaban!,spam,1
Aprovecha nuestro crédito con meses sin intereses,spam,1
Tu ordenador tiene un virus,spam,1
Tu reservacion ha sido exitosa,ham,0
Gana comisiones promocionando nuestros servicios,spam,1
Cambios importantes en nuestros servicios,ham,0
Descubre como seducir a cualquier persona,spam,1
Haz clic para obtener tu reporte crediticio gratis,spam,1
Pide tu muestra médica gratuita,spam,1
Importantes cambios en nuestras políticas de servicio,ham,0
Disfruta 30 dias de servicio bonificado,ham,0
Hemos recibido tu consulta y te responderemos a la brevedad,ham,0
Por favor completa tu perfil para una mejor experiencia,ham,0
Necesitamos verificar tu identidad para procesar tu solicitud,spam,1
Mejora tu agilidad mental con nuestros juegos,spam,1
Divide tus pagos hasta en 24 meses,spam,1
Tu recibo fiscal ya está disponible descárgalo aquí,ham,0
Felicidades has sido promovido a un nuevo cargo,ham,0
Gana comisiones por referir amigos,spam,1
Gracias por preferirnos tu opinion es muy importante para nosotros,ham,0
Evita recargos pagando tu cuenta a tiempo,ham,0
Necesitamos que verifiques tu cuenta,spam,1
Felicidades has sido seleccionado para una beca,ham,0
Felicidades te ascendieron a gerente,ham,0
Este es un recordatorio de tu proxima cita,ham,0
Gracias por tus comentarios son muy valiosos para nosotros,ham,0
Hemos detectado actividad sospechosa en tu cuenta,spam,1
Gracias por pagar puntualmente,ham,0
Confirma tu asistencia al taller de seguridad,ham,0
Hola únete a nuestro dream team,ham,0
Marca tus abdominales con nuestro quema grasa,spam,1
Estamos revisando tu queja,ham,0
Obtén acceso exclusivo a nuestras rebajas privadas,spam,1
