texto,label,emocion
ive ralentizado me tomo el tiempo para escuchar a mi hijo y estar en el momento y no siento que tengo que actualizar inmediatamente mi estado en fb sobre la cosa linda que hizo,1,alegria
me siento deprimido estoy en la desesperación por qué tiene que ser de esta manera por qué no comenzaron el tratamiento antes,0,tristeza
me siento un poco torturado en este momento,4,miedo
solo sé que me siento tan caliente ahora,2,amor
creo que mi cuerpo se ha recuperado y me siento emocionado de bajar las escaleras para el inicio de la semana de entrenamiento,1,alegria
"también me dieron varios regalos brillantes porque mis amigos son realmente bastante geniales, en realidad prefiero los regalos de cumpleaños tardíos a los tempranos, ya que extiende el período de sentirse amados segmentos significativos de todos y diversos y es más inesperado.",1,alegria
realmente me siento gigly,1,alegria
"experimentaría esto varias veces más tarde en la vida, pero esta fue mi primera experiencia con un racismo repugnante que prevalece en todas las culturas y colores de piel en todo el mundo.",0,tristeza
"quiero decir que me siento bastante bien, pero ¿por qué pedir problemas sabes lo que quiero decir?",1,alegria
no sé si me siento aprensivo al respecto o apático,4,miedo
me siento resignado a lo que he traído a mí mismo y dócil,0,tristeza
le dije que siento por la experiencia de la empresa en tiempo real que mba sería más valioso para mi carrera que gate ya que la mayoría de los trabajos ahora son empresas basadas en soporte.,1,alegria
me siento tan reprimido con este ahora,0,tristeza
voy a pagar un mes durante meses y sentir vergenza cada vez que asar un hot dog a partir de ese momento en,2,amor
me siento como un culo diciendo que desde que mi dulce hermana ha pasado por muy posiblemente el peor año de su vida al mismo tiempo,1,alegria
también recibo esto como otro mensaje para llevar a casa que necesita para empujar sus propios límites hacer cosas que te hacen sentir incómodo que te asustan.,4,miedo
me siento apasionado por el tema,1,alegria
me siento aturdida esta mañana,0,tristeza
me sentía aprensivo sobre mi viaje porque estaría usando el transporte público todo el camino,4,miedo
"solo he tomado tres tomas de rollos hasta ahora y realmente he estado sintiendo mi camino con una cámara muy extraña, un fotómetro y los procesos de pensamiento olvidados de la fotografía lenta.",5,sorpresa
me estaba sintiendo extremadamente caliente mientras estaba fuera de la ciudad visitando a algunos amigos míos en el sur de la florida,2,amor
voy a tener que pasar las próximas cinco horas escuchando tres días de gracia para trabajar fuera de mi sistema y ya sabes cómo me siento acerca de su negligencia apóstrofe rebelde,3,enojo
sospecho que me iba a sentir resentido y realmente no mostrar mi mejor lado,3,enojo
me siento bastante inocente en ese sentido.,1,alegria
"no quería irme, pero no antes agradecí a sus padres por confiar en mí para pasar la noche y que me hizo sentir que me respetaban.",1,alegria
recuerdo que sabías que estabas locamente enamorada de mí sin una sombra de duda y me hiciste sentir hermosa siempre,1,alegria
"me siento bajo no coz de las situaciones de distancia o la persona, pero es que una cosa que te hace daño y te hace sentir responsable de lo que he hecho a mí mismo",0,tristeza
siempre tuve la sensación de estar en forma y me sentía cada vez más frustrado con la acumulación diaria de grasa corporal elusiva.,3,enojo
esta semana he notado que no soy la única que lucha con sentirse un poco deprimida después del día de la madre.,0,tristeza
me siento lindo porque la melodía de los días de la canción de navidad jugó en mi mente pia de nuevo casi mi mejor amiga porque salían como todos los días y puedo compartir con ella casi todo y entendemos juntos y salí,1,alegria
te veo la luz en la habitación se ilumina me dan un resplandor en mis ojos me siento extático,1,alegria
necesito sentirme seguro de mi juego de golpe y cuando recientemente me lesioné la muñeca encontré la x trémus la mejor para ayudarme a recuperarme pero aún así jugar,1,alegria
me siento tan dulce como un pastel de siglos de antigedad,1,alegria
todavía me siento estresado,3,enojo
incluso recuerdo haberlos probado el año pasado y sentirme horrible porque no estaba cerca de cerrarlos.,0,tristeza
siento que mi amado nakahara mai la expresaría muy bien,2,amor
tengo la sensación de que hay algunos momentos más perfectos que vienen,1,alegria
"quiero decir que eran dolores menores, ya que había un crecimiento minúsculo, pero obtienes la sensación de tampones y calambres menstruales por las primeras veces en la vida, ciertamente no era la idea de mi padre de unas vacaciones sin preocupaciones.",1,alegria
"lloro por el sentimiento del sufrimiento de la humanidad, ya que tengo que dejar ir y dejar que el dolor fluya.",0,tristeza
me siento bendecido más allá de lo posible para vivir en una edad de amperio día cuando este tratamiento está disponible también para tener un marido que está pagando una factura médica muy caro,1,alegria
me mudo para sentarme lo suficientemente cerca como para oler los dulces de cereza que has estado chupando lo suficientemente cerca como para sentirte nervioso.,4,miedo
me siento muy agobiada por tantas situaciones a mi alrededor ahora mismo.,0,tristeza
"podría haberte dejado sintiéndote decepcionado, especialmente si estabas anticipando videos de fotos.",0,tristeza
sigo sintiéndome muy enamorada,2,amor
me siento orgullosa de ella,1,alegria
me siento tan tímida porque me di cuenta de que esas personas detrás de mí no bailaban y nos miraban.,4,miedo
"soy un chico me gustan las chicas son bonitas y me gusta cuando me sonríen, pero me hace sentir divertido",5,sorpresa
me siento mal por la escuela,0,tristeza
siento que por lo general muy pocas personas pueden someter fácilmente el anhelo de unos o incluso,2,amor
por acción de gracias completa con lb sospechosamente húmedo pavo y rellenos tradicionales y con la muerte final de acción de gracias puedo mirar alrededor e ir ahhh y empezar a disfrutar de las vacaciones en lugar de sentirse asaltado por ellos,0,tristeza
soy el único que se siente castigado,0,tristeza
"veo las áreas donde debería estar mejor y me siento desanimado y condenado, pero me siento tentado a convertirme en placeres adormecedores más que en desesperación.",0,tristeza
me siento convencido de que soy una molestia para ellos.,1,alegria
tendría que bajarme y caminar por la colina que siempre me hizo sentir terrible.,0,tristeza
me chugged un grande ol cerveza con el estómago vacío así que ahora im loopy y sensación creativa,1,alegria
"me arrepiento de no haberte escrito, sentí exactamente las mismas cosas que hiciste y también me hubiera encantado que leyeras mis cartas.",0,tristeza
"me siento impaciente, pero mucho gracias a nic ella sabe cómo calmarme abajo",3,enojo
realmente he notado que mi claridad mental como yo finalmente comienza a despertar después de años de un cerebro brumoso y sintiéndose letárgico.,0,tristeza
sé y siento que es hora de despertar para ser valiente para cambiar mi perspectiva,1,alegria
podría decir que estaba sintiendo miedo o ansiedad o que estaba aterrorizado por lo que el futuro puede traer.,4,miedo
me estaba calentando empezando a sentir un poco letárgico,0,tristeza
hago mi yoga me abro se siente tierno dos horas más tarde estoy muy bien envuelto de nuevo felizmente envolviendo capa sobre capa sobre él fuera de mi hábito bien significado,2,amor
todavía me avergenzo de cómo lo traté,0,tristeza
me siento más apasionado por las cosas también,1,alegria
no puedo evitar divertirme después de leer este artículo,1,alegria
me siento tan tranquilo de estar cerca y de mí mismo,1,alegria
me siento fenomenal mediante la aplicación de la medicina alternativa para mantener mi salud,1,alegria
me siento perra como el infierno esta noche,3,enojo
me siento encantada de mostrar este viaje,1,alegria
"actualmente lo soy, pero ni siquiera puedo hacer eso en este momento sin sentirme indeciso y atado a la escuela y la escritura y las tareas.",4,miedo
"me siento humillado, elijo creer que de alguna manera janes sanders verá estas palabras y sabrá que no puede salirse con la suya abusando de los demás.",0,tristeza
siento que soy tan patético y francamente tonto para dejar que la gente les deje jugar con mis sentimientos y luego me deja limpiar esta pila de tristeza dentro de mí.,0,tristeza
no puedo creer que se haya dicho que ya me siento privado sexualmente.,0,tristeza
me siento demasiado distraído para escribir realmente algo de sustancia.,3,enojo
"todavía puedo recordar la sensación de paz, su tierna sonrisa y sus cálidas manos.",2,amor
"siempre me siento caliente, estoy caliente al tacto",2,amor
me pregunto si me siento lo suficientemente valiente como para hacerlos regalos.,1,alegria
no sé qué hacer en mi espacio actual para sentirme más cómodo.,1,alegria
"creo que algunas personas no son inteligentes, pero quieren sentirse inteligentes, por lo que solo responden preguntas con respuestas sin sentido para que puedan ganar puntos y hacer preguntas estúpidas como si salieras conmigo y cosas así.",1,alegria
estoy de pie tan cerca de dicha vaca su nombre es gabriella btw me siento grosero llamándola vaca,3,enojo
"me siento graciosa, ¿qué hay de ti?",2,amor
podía sentirlo tan animado en comparación con la atmósfera ruidosa y aunque muerta de la vida en la colina.,1,alegria
ya me sentía amado por haber sido invitado a estar en la fiesta nupcial la nota de agradecimiento me hizo sentir aún más,2,amor
me siento un poco triste de que los jóvenes de hoy nunca llegarán a experimentar el poco de cultura que mi generación y los que antes lo hicieron.,0,tristeza
"me pusieron en un dolor menos potente med goteo pero no me sentí fuera de control, así que me gustó que la droga mejor",2,amor
